Id,Active,ProductCode,ProductType,Name,ProductFamily,Category,GLAccount,Description,UnitOfMeasure,Tags,UnitCost,LotAndExpiryControl,ColdChain,ControlledSubstance,HazardousMaterial,Reconditioned,Manufacturer,BrandName,ManufacturerCode,ManufacturerName,Vendor,VendorCode,VendorName,UPC,NDC,Created,Updated
,TRUE,,Default,Dolutegravir 10mg tablet,,Fixed-dose combinations of antiretrovirals,,,Each,Human immunodeficiency virus disease without mention of associated disease or condition clinical stage unspecified,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,Dolutegravir 50mg + lamivudine 300mg + tenofovir 300mg,,Fixed-dose combinations of antiretrovirals,,,Each,Human immunodeficiency virus disease without mention of associated disease or condition clinical stage unspecified,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,Dolutegravir 50mg tablet,,Integrase inhibitors,,,Each,Human immunodeficiency virus disease without mention of associated disease or condition clinical stage unspecified,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,Dopamine injection 40mg/mL in 5mL vial,,Medicines used in heart failure,,,Each,Heart failure,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,Doxycycline 100mg tablet,,Access group antibiotics,,,Each,Chlamydia trachomatis,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,Doxycycline 50mg tablet,,Access group antibiotics,,,Each,Bacterial pneumonia (Community-acquired pneumonia - mild to moderate),,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,Doxycycline oral solution 25mg/5mL,,Access group antibiotics,,,Each,Cholera,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,Doxycycline powder for injection 100mg,,Access group antibiotics,,,Each,Chronic obstructive pulmonary disease with acute exacerbation,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,Efavirenz 400mg + lamivudine 300mg + tenofovir 300mg table,,Fixed-dose combinations of antiretrovirals,,,Each,Human immunodeficiency virus disease without mention of associated disease or condition clinical stage unspecified,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,Efavirenz 600mg + emtricitabine200mg  + tenofovir 300mg tablet,,Fixed-dose combinations of antiretrovirals,,,Each,Human immunodeficiency virus disease without mention of associated disease or condition clinical stage unspecified,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,Efavirenz 600mg tablet,,Non-nucleoside reverse transcriptase inhibitors,,,Each,Human immunodeficiency virus disease without mention of associated disease or condition clinical stage unspecified,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,"Eflornithine infusion, 200mg/mL in 100mL bottle",,Medicines for the treatment of 2nd stage African trypanosomiasis,,,Each,African trypanosomiasis,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,Empagliflozin 10mg tablet,,Oral hypoglycaemic agents,,,Each,Type 2 diabetes mellitus,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,Emtricitabine 200mg+ tenofovir 300mg tablet,,Fixed-dose combinations of antiretrovirals,,,Each,Human immunodeficiency virus disease without mention of associated disease or condition clinical stage unspecified,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,Enalapril 2.5mg tablet,,Antihypertensive medicines,,,Each,Essential hypertension,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,Enalapril 5mg tablet,,Medicines used in heart failure,,,Each,Heart failure,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,"Enoxaparin injection, 20mg/0.2ml",,Medicines affecting coagulation,,,Each,Acute ischaemic heart disease,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,"Enoxaparin injection, 40mg/0.4ml",,Medicines affecting coagulation,,,Each,Venous thromboembolism,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,"Enoxaparin injection, 80mg/0.8ml",,Medicines affecting coagulation,,,Each,Venous thromboembolism,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,Entecavir 0.5mg tablet,,Nucleoside/Nucleotide reverse transcriptase inhibitors,,,Each,Chronic hepatitis B,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,Entecavir 1mg tablet,,Nucleoside/Nucleotide reverse transcriptase inhibitors,,,Each,Chronic hepatitis B,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,"Entecavir oral solution, 0.5mg/mL",,Nucleoside/Nucleotide reverse transcriptase inhibitors,,,Each,Chronic hepatitis B,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,Ephedrine spinal injection 30mg/mL in 1mL ampoule,,Local anaesthetics,,,Each,Cardiac complications of anaesthesia during labour or delivery,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,Epinephrine 2% eye drops,,Mydriatics,,,Each,Primary open-angle glaucoma,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,Epinephrine infusion 100ug/mL in 10mL ampoule,,Antiarrhythmic medicines,,,Each,Cardiac arrest,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,Epinephrine injection 1mg/mL,,Antiasthmatic and medicines for chronic obstructive pulmonary disease,,,Each,Chronic obstructive pulmonary disease,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,Equine rabies immunoglobulin,,"Sera, immunoglobulins and monoclonal antibodies",,,Each,Rabies,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,Ergocalciferol 1.25mg tablet,,Vitamins and minerals,,,Each,Vitamin D deficiency,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,Ergocalciferol oral solution 250ug/mL,,Vitamins and minerals,,,Each,Calcium deficiency,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,Ergometrine injection 200ug /mL in 1mL ampoule,,Uterotonics,,,Each,Postpartum haemorrhage,,TRUE,TRUE,,,,,,,,,,,,,,
,TRUE,,Default,Erlotinib 100mg tablet,,Targeted therapies,,,Each,Other specified malignant neoplasms of bronchus or lung,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,Erythromycin 0.5% eye ointment,,Anti-infective agents,,,Each,Chlamydial conjunctivitis,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,Erythromycin 125mg tablet,,Anti-infective agents,,,Each,Gonococcal infection of eye,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,Erythromycin powder for injection 500mg,,Watch group antibiotics,,,Each,Acute pharyngitis,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,Ethambutol 100mg tablet,,Antituberculosis medicines,,,Each,Tuberculosis,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,ethambutol 275 mg + isoniazid 75mg + pyrazinamide 400mg + rifampicin 150mg tablet,,Antituberculosis medicines,,,Each,Tuberculosis,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,ethambutol 275mg + isoniazid 75mg + rifampicin 150mg,,Antituberculosis medicines,,,Each,Tuberculosis,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,Ethambutol 400mg tablet,,Antituberculosis medicines,,,Each,Tuberculosis,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,Ethanol 70% denatured solution,,Antiseptics,,,Each,Denatured alcohol,,FALSE,,,TRUE,,,,,,,,,,,,
,TRUE,,Default,ethinylestradiol 2.7mg + etonogestrel 11.7mg vaginal ring,,Intravaginal contraceptives,,,Each,,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,ethinylestradiol 35ug + norethisterone 1mg tablet,,Oral hormonal contraceptives,,,Each,,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,Ethionamide 125mg dispersable tablet,,Antituberculosis medicines,,,Each,Multi-drug resistant Mycobacterium tuberculosis,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,Ethionamide 125mg tablet,,Antituberculosis medicines,,,Each,Multi-drug resistant Mycobacterium tuberculosis,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,Ethionamide 250mg tablet,,Antituberculosis medicines,,,Each,Multi-drug resistant Mycobacterium tuberculosis,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,Ethosuximide 250mg tablet,,Antituberculosis medicines,,,Each,Multi-drug resistant Mycobacterium tuberculosis,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,Ethosuximide injection 250mg/5mL,,Anticonvulsants/antiepileptics,,,Each,Absence seizures typical,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,"Etonogestrel-releasing implant, 68mg",,Implantable contraceptives,,,Each,,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,Fentanyl transdermal patch 100ug/hour,,Opioid analgesics,,,Each,Chronic cancer pain,,TRUE,,TRUE,,,,,,,,,,,,,
,TRUE,,Default,Fentanyl transdermal patch 12ug/hour,,Opioid analgesics,,,Each,Chronic cancer pain,,TRUE,,TRUE,,,,,,,,,,,,,
,TRUE,,Default,Fentanyl transdermal patch 25ug/hour,,Opioid analgesics,,,Each,Chronic cancer pain,,TRUE,,TRUE,,,,,,,,,,,,,
,TRUE,,Default,Fentanyl transdermal patch 50ug/hour,,Opioid analgesics,,,Each,Chronic cancer pain,,TRUE,,TRUE,,,,,,,,,,,,,
,TRUE,,Default,Fentanyl transdermal patch 75ug/hour,,Opioid analgesics,,,Each,Chronic cancer pain,,TRUE,,TRUE,,,,,,,,,,,,,
,TRUE,,Default,Ferrous salt 60mg + folic acid 400ug tablet,,Antianaemia medicines,,,Each,Maternal care for other specified conditions predominantly related to pregnancy,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,Ferrous salt 60mg tablet,,Antianaemia medicines,,,Each,,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,Ferrous salt oral solution 25mg/mL,,Antianaemia medicines,,,Each,Iron deficiency anaemia,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,Fexinidazole 600mg tablet,,Medicines for the treatment of 1st stage African trypanosomiasis,,,Each,African trypanosomiasis,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,"Filgrastim injection, 120ug/0.2mL in prefilled syringe",,Immunomodulators,,,Each,Acquired neutropaenia,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,Fluconazole 50mg capsule,,Antifungal medicines,,,Each,Candidosis,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,"Fluconazole injection, 2mg/mL",,Antifungal medicines,,,Each,Candidosis,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,"Fluconazole Oral Solution, 50mg/mL",,Antifungal medicines,,,Each,Candidosis,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,Flucytosine 250 mg capsule,,Antifungal medicines,,,Each,Cryptococcosis,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,"Flucytosine infusion, 2.5g/250mL",,Antifungal medicines,,,Each,Cryptococcosis,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,Fludarabine 10mg tablet,,Cytotoxic medicines,,,Each,Chronic lymphocytic leukaemia or small lymphocytic lymphoma,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,Fludrocortisone 100ug tablet,,Adrenal hormones and synthetic substitutes,,,Each,Adrenocortical insufficiency,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,Fluorescein 1$ eye drops,,Ophthalmic medicines,,,Each,Fluorescein,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,Fluoride dental paste,,Dental preparations,,,Each,Dental caries,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,Fluorouracil 5% ointment,,Medicines affecting skin differentiation and proliferation,,,Each,Plantar warts,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,"Fluorouracil injection, 50mg/mL in 5mL ampoule",,Cytotoxic medicines,,,Each,Malignant neoplasms of breast,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,Fluoxetine 20mg tablet,,Medicines for other common symptoms in palliative care,,,Each,Palliative care,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,Fluphenazine injection 25mg/mL,,Medicines used in psychotic disorders,,,Each,Schizophrenia or other primary psychotic disorders,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,Folic acid 1mg tablet,,Antianaemia medicines,,,Each,Folate deficiency anaemia,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,Folic acid 400ug tablet,,Antianaemia medicines,,,Each,Anencephaly or similar anomalies,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,Folic acid 5mg tablet,,Antianaemia medicines,,,Each,Cephalocele,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,Fomepizole injection 5mg/mL in 20mL ampoule,,Specific,,,Each,Harmful effects of or exposure to noxious substances chiefly nonmedicinal as to source not elsewhere classified,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,Fresh-frozen plasma,,Blood and blood components,,,Each,Blood transfusion without reported diagnosis,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,Furosemide 20mg tablet,,Diuretics,,,Each,"Anuria or oliguria,Oedema",,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,Furosemide injection 10ng/mL in 2mL ampoule,,Medicines used in heart failure,,,Each,"Heart failure,Oedema",,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,Furosemide oral solution 20mg/5mL,,Medicines used in heart failure,,,Each,"Heart failure,Oedema",,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,"Gemcitabine powder for injection, 1000mg",,Cytotoxic medicines,,,Each,Other specified malignant neoplasms of bronchus or lung,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,"Gemcitabine powder for injection, 200mg",,Cytotoxic medicines,,,Each,Other specified carcinomas of ovary,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,Gentamicin 0.3% eye drops,,Anti-infective agents,,,Each,Other specified conjunctivitis,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,Gentamicin injection 10mg/mL in 2mL vial,,Access group antibiotics,,,Each,Acute malnutrition in infants children or adolescents (complicated) [children],,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,Gentamicin injection 40mg/mL in 2mL vial,,Access group antibiotics,,,Each,Acute malnutrition in infants children or adolescents (complicated) [children],,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,Glass ionomer cement,,Dental preparations,,,Each,Dental caries,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,Glecaprevir 100mg + pibrentasvir 40mg tablet,,Pangenotypic direct-acting antiviral combinations,,,Each,Chronic hepatitis C,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,Gliclazide 30mg controlled release tablet,,Oral hypoglycaemic agents,,,Each,Type 2 diabetes mellitus,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,Gliclazide 60mg controlled release tablet,,Oral hypoglycaemic agents,,,Each,Type 2 diabetes mellitus,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,Gliclazide 80mg controlled release tablet,,Oral hypoglycaemic agents,,,Each,Type 2 diabetes mellitus,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,Glucagon injection 1mg/mL,,Medicines for hypoglycaemia,,,Each,Hypoglycaemia in the context of diabetes,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,Glucose 5% isotonic solution,,Parenteral,,,Each,Other specified disorders of fluid electrolyte or acid-base balance,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,Glucose 50% hypertonic solution,,Parenteral,,,Each,Hypoglycaemia without associated diabetes,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,Glutaral 2% solution,,Disinfectants,,,Each,Glutaral nonmedicinal,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,Glyceryl trinitrate 500 ug sublingual tablet,,Antianginal medicines,,,Each,Angina pectoris,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,Griseofulvin 125mg tablet,,Antifungal medicines,,,Each,Dermatophytosis,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,Griseofulvin 250mg tablet,,Antifungal medicines,,,Each,Dermatophytosis,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,haemophilus influenzae type b vaccine,,Recommendations for all immunization programmes,,,Each,,,TRUE,TRUE,,,,,,,,,,,,,,
,TRUE,,Default,Haloperidol 2mg tablet,,Medicines for other common symptoms in palliative care,,,Each,Palliative care,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,"Haloperidol injection, 5mg/mL",,Medicines used in psychotic disorders,,,Each,Schizophrenia or other primary psychotic disorders,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,"Heparin sodium injection, 1000IU/mL in 5mL ampoule",,Medicines affecting coagulation,,,Each,"Venous thromboembolism,Acute ischaemic heart disease,Unstable angina",,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,"Heparin sodium injection, 20000IU/mL in 5mL ampoule",,Medicines affecting coagulation,,,Each,"Venous thromboembolism,Acute ischaemic heart disease,Unstable angina",,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,"Heparin sodium injection, 5000IU/mL in 5mL ampoule",,Medicines affecting coagulation,,,Each,"Venous thromboembolism,Acute ischaemic heart disease,Unstable angina",,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,Hepatitis a vaccine,,Recommendations for some high-risk populations,,,Each,,,TRUE,TRUE,,,,,,,,,,,,,,
,TRUE,,Default,Hepatitis b vaccine,,Recommendations for all immunization programmes,,,Each,,,TRUE,TRUE,,,,,,,,,,,,,,
,TRUE,,Default,HPV vaccine,,Recommendations for all immunization programmes,,,Each,,,TRUE,TRUE,,,,,,,,,,,,,,
,TRUE,,Default,Hydrochlorothiazide 12.5mg tablet,,Medicines used in heart failure,,,Each,Heart failure,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,Hydrochlorothiazide 25mg tablet,,Antihypertensive medicines,,,Each,Essential hypertension,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,"Hydrocortisone  powder for injection, 100mg",,Hormones and antihormones,,,Each,Lymphoid leukaemia not elsewhere classified,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,Hydrocortisone 1% cream,,Adrenal hormones and synthetic substitutes,,,Each,Adrenocortical insufficiency,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,Hydrocortisone 10mg tablet,,Antiallergics and medicines used in anaphylaxis,,,Each,Anaphylaxis,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,Hydrocortisone 25mg suppository,,Anti-inflammatory medicines,,,Each,Crohn disease site,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,Hydrocortisone 5mg tablet,,Adrenal hormones and synthetic substitutes,,,Each,Adrenocortical insufficiency,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,"Hydroxocobalamin injection, 1mg/mL in 1mL ampoule",,Antianaemia medicines,,,Each,Megaloblastic anaemia due to vitamin B12 deficiency,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,Hydroxycarbamide 100mg tablet,,Disease-modifying anti-rheumatic drugs (DMARDs),,,Each,Systemic lupus erythematosus,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,Hydroxycarbamide 200mg tablet,,Other medicines for haemoglobinopathies,,,Each,Other specified sickle cell disorders or other haemoglobinopathies,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,Hydroxycarbamide 500mg tablet,,Other medicines for haemoglobinopathies,,,Each,Chronic myeloid leukaemia not elsewhere classified,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,"Hyoscine butylbromide injection, 20mg/mL",,Medicines for other common symptoms in palliative care,,,Each,Palliative care,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,Hyoscine hydrobromide transdermal patch 1mg/72 hours,,Medicines for other common symptoms in palliative care,,,Each,Palliative care,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,Ibuprofen 200mg tablet,,For treatment of acute attack,,,Each,Migraine,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,Ibuprofen 400mg tablet,,Non-opioids and non-steroidal anti-inflammatory medicines (NSAIMs),,,Each,Pain,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,Ibuprofen oral solution 200mg/5mL,,Medicines administered to the neonate [c],,,Each,Patent arterial duct,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,"Ifosfamide powder for injection, 1000mg",,Cytotoxic medicines,,,Each,Ewing sarcoma of bone and articular cartilage of unspecified sites,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,"Ifosfamide powder for injection, 2000mg",,Cytotoxic medicines,,,Each,Other specified malignant neoplasms of the ovary,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,"Ifosfamide powder for injection, 500mg",,Cytotoxic medicines,,,Each,Germ cell tumour of testis,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,Imatinib 100mg tablet,,Targeted therapies,,,Each,Gastrointestinal stromal tumour of unspecified gastrointestinal sites,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,Imatinib 400mg tablet,,Targeted therapies,,,Each,Chronic myeloid leukaemia not elsewhere classified,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,Influenza vaccine (seasonal),,Recommendations for immunization programmes with certain characteristics,,,Each,,,TRUE,TRUE,,,,,,,,,,,,,,
,TRUE,,Default,"Insulin injection, 100IU/mL in 10mL vial",,Insulins,,,Each,Type 2 diabetes mellitus,,TRUE,TRUE,,,,,,,,,,,,,,
,TRUE,,Default,"Insulin injection, 40IU/mL in 10mL vial",,Insulins,,,Each,Type 1 diabetes mellitus,,TRUE,TRUE,,,,,,,,,,,,,,
,TRUE,,Default,"Intermediate-acting insulin, 100IU/mL in 10mL vial",,Insulins,,,Each,Type 2 diabetes mellitus,,TRUE,TRUE,,,,,,,,,,,,,,
,TRUE,,Default,"Intermediate-acting insulin, 40IU/mL in 10mL vial",,Insulins,,,Each,Type 1 diabetes mellitus,,TRUE,TRUE,,,,,,,,,,,,,,
,TRUE,,Default,Intraperitoneal dialysis solution,,Peritoneal dialysis solution,,,Each,Care involving peritoneal dialysis,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,"Intrauterine device, levonorgestrel",,Intrauterine devices,,,Each,,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,Ipratropium bromide 20ug inhaler,,Antiasthmatic and medicines for chronic obstructive pulmonary disease,,,Each,Chronic obstructive pulmonary disease,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,"Irinotecan injection, 40mg/2mL",,Cytotoxic medicines,,,Each,Malignant neoplasm metastasis in large intestine,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,Isoniazid 100mg tablet,,Antituberculosis medicines,,,Each,Tuberculosis,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,Isoniazid 150mg + rifampicin 300mg tablet,,Antituberculosis medicines,,,Each,Tuberculosis,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,Isoniazid 300mg + pyridoxine 25mg + sulfamethoxazole 800mg + trimethoprim 160mg tablet,,Medicines for prevention of HIV-related opportunistic infections,,,Each,Other specified prophylactic measures,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,Isoniazid 300mg + rifapentine 300mg tablet,,Antituberculosis medicines,,,Each,Latent tuberculosis,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,Isoniazid 300mg tablet,,Antituberculosis medicines,,,Each,Tuberculosis,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,Isoniazid 50mg + pyrazinamide 150mg + rifampicin 75mg tablet,,Antituberculosis medicines,,,Each,Tuberculosis,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,Isoniazid 50mg + rifampicin 75mg tablet,,Antituberculosis medicines,,,Each,Tuberculosis,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,Isoniazid 75mg + pyrazinamide 400mg + rifampicin 150mg tablet,,Antituberculosis medicines,,,Each,Tuberculosis,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,Isoniazid 75mg + rifampicin 150mg tablet,,Antituberculosis medicines,,,Each,Tuberculosis,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,"Isoniazid oral solution, 50mg/5mL",,Antituberculosis medicines,,,Each,Tuberculosis,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,Isosorbide dinitrate 5mg sublingual tablet,,Antianginal medicines,,,Each,Angina pectoris,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,Itraconazole 100mg tablet,,Antifungal medicines,,,Each,Chronic pulmonary aspergillosis,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,Ivermectin 3mg tablet,,Intestinal anthelminthics,,,Each,Strongyloidiasis,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,Japanese encephalitis vaccine,,Recommendations for certain regions,,,Each,,,TRUE,TRUE,,,,,,,,,,,,,,
,TRUE,,Default,Ketamine injection 50mg/mL in 10mL vial,,Injectable medicines,,,Each,Anaesthetics and therapeutic gases,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,Lactulose oral solution 3.7g/5mL,,Medicines for other common symptoms in palliative care,,,Each,Palliative care,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,Lamivudine 150mg + nevirapine 200mg + zidovudine 300mg tablet,,Fixed-dose combinations of antiretrovirals,,,Each,Human immunodeficiency virus disease without mention of associated disease or condition clinical stage unspecified,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,Lamivudine 150mg + zidovudine 300mg tablet,,Fixed-dose combinations of antiretrovirals,,,Each,Human immunodeficiency virus disease without mention of associated disease or condition clinical stage unspecified,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,Lamivudine 150mg tablet,,Nucleoside/Nucleotide reverse transcriptase inhibitors,,,Each,Human immunodeficiency virus disease without mention of associated disease or condition clinical stage unspecified,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,Lamivudine 30mg + nevirapine 50mg + zidovudine 60mg tablet,,Fixed-dose combinations of antiretrovirals,,,Each,Human immunodeficiency virus disease without mention of associated disease or condition clinical stage unspecified,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,Lamivudine 30mg + zidovudine 60mg tablet,,Fixed-dose combinations of antiretrovirals,,,Each,Human immunodeficiency virus disease without mention of associated disease or condition clinical stage unspecified,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,Lamotrigine 100mg tablet,,Anticonvulsants/antiepileptics,,,Each,Other specified epilepsy or seizures,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,Lamotrigine 200mg tablet,,Anticonvulsants/antiepileptics,,,Each,Other specified epilepsy or seizures,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,Lamotrigine 50mg tablet,,Anticonvulsants/antiepileptics,,,Each,Other specified epilepsy or seizures,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,Latanoprost 50ug/mL eye drops,,Miotics and antiglaucoma medicines,,,Each,Primary open-angle glaucoma,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,Ledipasvir 90mg + sofosbuvir 400mg tablet,,Non-pangenotypic direct-acting antiviral combinations,,,Each,Chronic hepatitis C,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,Lenalidomide 25mg tablet,,Immunomodulators,,,Each,Plasma cell myeloma,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,"Leuprorelin injection, 22.5mg in prefilled syringe",,Hormones and antihormones,,,Each,Malignant neoplasms of prostate,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,"Leuprorelin injection, 7.5mg in prefilled syringe",,Hormones and antihormones,,,Each,Malignant neoplasms of breast,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,Levamisole 100mg tablet,,Intestinal anthelminthics,,,Each,Ascariasis,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,Levamisole 50mg tablet,,Intestinal anthelminthics,,,Each,Ascariasis,,TRUE,,,,,,,,,,,,,,,
